Inertia,C1,C2,Convergence Step
1.75, 2, 2, 201
2.0, 2, 2, 201
1.5, 2, 2, 201
1.5, 2, 2, 201
1.5, 2, 2, 165
1.5, 2, 2, 138
1.5, 2, 2, 104
1.5, 2, 2, 165
1.5, 2, 2, 157
1.5, 2, 2, 170
1.5, 2, 2, 159
1.5, 2, 2, 161
1.5, 2, 2, 165
1.5, 2, 2, 179
1.5, 2, 2, 201
1.5, 2, 2, 167
1.5, 2, 2, 157
1.5, 2, 2, 179
1.5, 2, 2, 159
1.5, 2, 2, 179
1.5, 2, 2, 104
1.75, 2, 2, 201
1.75, 2, 2, 201
2, 2, 2, 201
1.75, 2, 2, 201
2.0, 2, 2, 201
2.0, 2, 2, 201
2.0, 2, 2, 201
2.0, 2, 2, 201
2.5, 2, 2, 201
1.5, 1, 1, 85
1.5, 1, 1, 85
1.5, 1, 1, 91
1.5, 1, 1, 88
1.5, 1, 1, 96
2.0, 1, 1, 201
1, 2, 2, 47
1, 1.5, 2, 43
1, 1.5, 2, 45
1, 1.5, 2, 45
1, 1.5, 2, 45
1, 2, 2, 45
1, 2, 2, 45
1, 2, 2, 35
1, 2, 2, 35
1, 2, 2, 28
1, 2, 2, 45
